id,table,trigger,targets,rule,evidence,source,decision,status,notes
R014,questionnaire,ACTIVITY_TYPE_1_M,ACTIVITY_TYPE_WALK_1_1;ACTIVITY_TYPE_WALK_DUR_1_1,activities include 1 (walking for pleasure) -> how often and how long asked; otherwise -998,quoted,Questionnaire Logic v2.2 section3,D064,encoded,
R015,questionnaire,ACTIVITY_TYPE_1_M,ACTIVITY_TYPE_EXERCISE_1_1;ACTIVITY_TYPE_EXERCISE_DUR_1_1,activities include 2 (other exercises) -> how often and how long asked; otherwise -998,quoted,Questionnaire Logic v2.2 section3,D064,encoded,
R016,questionnaire,ACTIVITY_TYPE_1_M,ACTIVITY_TYPE_STREN_1_1;ACTIVITY_TYPE_STREN_DUR_1_1,activities include 3 (strenuous sports) -> how often and how long asked; otherwise -998,quoted,Questionnaire Logic v2.2 section3,D064,encoded,
R017,questionnaire,ACTIVITY_TYPE_1_M,ACTIVITY_TYPE_DIY_LIGHT_1_1;ACTIVITY_TYPE_DIY_LIGHT_DUR_1_1,activities include 4 (light DIY) -> how often and how long asked; otherwise -998,quoted,Questionnaire Logic v2.2 section3,D064,encoded,
R018,questionnaire,ACTIVITY_TYPE_1_M,ACTIVITY_TYPE_DIY_HEAVY_1_1;ACTIVITY_TYPE_DIY_HEAVY_DUR_1_1,activities include 5 (heavy DIY) -> how often and how long asked; otherwise -998,quoted,Questionnaire Logic v2.2 section3,D064,encoded,
R019,questionnaire,SMOKE_TOBACCO_TYPE_1_M,SMOKE_TOBACCO_AGE_1_1;SMOKE_100_TIMES_2_1,tobacco types include 0 (cigarettes) -> age first smoked and occasions asked; otherwise -998,quoted,Questionnaire Logic v2.2 section3,D055,encoded,
R020,questionnaire,SMOKE_TOBACCO_TYPE_1_M,SMOKE_VAPE_AGE_2_1;SMOKE_VAPE_USE_2_1,tobacco types include 1 (electronic device) -> first-vaping age and situation asked; otherwise -998,quoted,Questionnaire Logic v2.2 section3,D055,encoded,
R021,questionnaire,SMOKE_TOBACCO_TYPE_1_M,SMOKE_REG_1_M,tobacco types include any of 0-5 or -3 -> regular use asked; only 6 -> [-998],quoted,Questionnaire Logic v2.2 section3,D055,encoded,
R022,questionnaire,SMOKE_TOBACCO_TYPE_1_M;SMOKE_REG_1_M,SMOKE_REG_FIRST_AGE_2_1;SMOKE_REG_TYPE_2_1;SMOKE_STATUS_2_1,tobacco types include any of 0-5 or -3 AND regular use includes 0 -> three cigarette questions asked; otherwise -998,quoted,Questionnaire Logic v2.2 section3,D060,encoded,
R023,questionnaire,SMOKE_TOBACCO_TYPE_1_M;SMOKE_REG_1_M;SMOKE_STATUS_2_1,SMOKE_PREV_REG_2_1,"R022 AND status 2, 3 or 0 -> previously-smoked asked; otherwise -998",quoted,Questionnaire Logic v2.2 section3,D060,encoded,
R024,questionnaire,SMOKE_TOBACCO_TYPE_1_M;SMOKE_REG_1_M;SMOKE_STATUS_2_1;SMOKE_PREV_REG_2_1,SMOKE_FIRST_AGE_2_1;SMOKE_PREV_AGE_2_1;SMOKE_AVG_2_1;SMOKE_PREV_REDUCE_REASON_2_M,R023 AND previously smoked most days (1) -> four questions asked; otherwise -998,quoted,Questionnaire Logic v2.2 section3,D060,encoded,
R025,questionnaire,SMOKE_TOBACCO_TYPE_1_M;SMOKE_REG_1_M;SMOKE_STATUS_2_1,SMOKE_REG_DAY_2_1,R022 AND status 1 (every day) -> cigarettes per day asked; otherwise -998,quoted,Questionnaire Logic v2.2 section3,D060,encoded,
R026,questionnaire,SMOKE_TOBACCO_TYPE_1_M;SMOKE_REG_1_M;SMOKE_STATUS_2_1;SMOKE_REG_DAY_2_1;SMOKE_PREV_REG_2_1,SMOKE_CHG_2_1,"R022 AND (status 1 with a per-day answer, or status 2/3/0 with previously-smoked 0 or -3) -> 10-year comparison asked; otherwise -998",quoted,Questionnaire Logic v2.2 section3,D060,encoded,
R027,questionnaire,SMOKE_TOBACCO_TYPE_1_M;SMOKE_REG_1_M;SMOKE_STATUS_2_1;SMOKE_REG_DAY_2_1;SMOKE_PREV_REG_2_1;SMOKE_CHG_2_1,SMOKE_CHG_REDUCE_REASON_2_M;SMOKE_CHG_REDUCE_ABST_1_1,R026 AND comparison 3 (less) -> reduce reason and stopped-6-months asked; otherwise -998,quoted,Questionnaire Logic v2.2 section3,D060,encoded,
R028,questionnaire,SMOKE_TOBACCO_TYPE_1_M;SMOKE_REG_1_M;SMOKE_STATUS_2_1;SMOKE_REG_DAY_2_1;SMOKE_PREV_REG_2_1;SMOKE_CHG_2_1;SMOKE_CHG_REDUCE_ABST_1_1,SMOKE_CHG_REDUCE_ABST_REASON_1_M,R027 AND stopped-6-months 1 -> reason asked; otherwise [-998],quoted,Questionnaire Logic v2.2 section3,D060,encoded,
R029,questionnaire,SMOKE_TOBACCO_TYPE_1_M;SMOKE_REG_1_M;SMOKE_STATUS_2_1;SMOKE_REG_DAY_2_1;SMOKE_PREV_REG_2_1;SMOKE_CHG_2_1,SMOKE_CHG_ABST_2_1,"R026 AND comparison 1, 2 or -3 -> stopped-6-months asked; otherwise -998",quoted,Questionnaire Logic v2.2 section3,D060,encoded,
R030,questionnaire,SMOKE_TOBACCO_TYPE_1_M;SMOKE_REG_1_M;SMOKE_STATUS_2_1;SMOKE_REG_DAY_2_1;SMOKE_PREV_REG_2_1;SMOKE_CHG_2_1;SMOKE_CHG_ABST_2_1,SMOKE_CHG_ABST_REASON_1_M,R029 AND stopped-6-months 1 -> reason asked; otherwise [-998],quoted,Questionnaire Logic v2.2 section3,D060,encoded,
R031,questionnaire,SMOKE_TOBACCO_TYPE_1_M;SMOKE_REG_1_M,SMOKE_VAPE_AVG_2_1;SMOKE_VAPE_TYPE_2_M,tobacco types answered AND regular use includes 1 (electronic device) -> vaping frequency and e-liquid asked; otherwise -998,quoted,Questionnaire Logic v2.2 section3,D060,encoded,logic file writes [SMOKE_REG_1]; read as SMOKE_REG_1_M (D055)
R032,questionnaire,SMOKE_EXPOSURE_1_1,SMOKE_EXPOSURE_HRS_1_1,"smoke exposure 1, 2, 3, 5 or 6 -> hours asked; 0 or -3 -> -998",quoted,Questionnaire Logic v2.2 section3,D055,encoded,
R033,questionnaire,ALCOHOL_CURR_1_1,ALCOHOL_PREV_1_1,how often = 6 (never) -> previously-drank asked; otherwise -998,quoted,Questionnaire Logic v2.2 section3,D067,encoded,
R034,questionnaire,ALCOHOL_CURR_1_1,ALCOHOL_WINE_RED_MTH_2_1;ALCOHOL_WINE_WHITE_MTH_2_1;ALCOHOL_BEER_MTH_2_1;ALCOHOL_SPIRITS_MTH_2_1;ALCOHOL_WINE_FORT_MTH_2_1;ALCOHOL_OTHER_MTH_2_1,how often = 4 or 5 -> six monthly amounts asked; otherwise -998,quoted,Questionnaire Logic v2.2 section3,D067,encoded,
R035,questionnaire,ALCOHOL_CURR_1_1,ALCOHOL_WINE_RED_WK_1_1;ALCOHOL_WINE_WHITE_WK_1_1;ALCOHOL_BEER_WK_1_1;ALCOHOL_SPIRITS_WK_1_1;ALCOHOL_WINE_FORT_WK_1_1;ALCOHOL_OTHER_WK_1_1,"how often = 1, 2 or 3 -> six weekly amounts asked; otherwise -998",quoted,Questionnaire Logic v2.2 section3,D067,encoded,
R036,questionnaire,ALCOHOL_CURR_1_1,ALCOHOL_FOOD_1_1;ALCOHOL_CHG_1_1,how often = 1-5 -> with-meals and 10-year comparison asked; otherwise -998,quoted,Questionnaire Logic v2.2 section3,D067,encoded,
R037,questionnaire,ALCOHOL_CURR_1_1;ALCOHOL_CHG_1_1,ALCOHOL_CHG_REDUCE_REASON_2_M,how often = 1-5 AND comparison = 3 (less) -> reasons for reducing asked; otherwise [-998],quoted,Questionnaire Logic v2.2 section3,D067,encoded,
R038,questionnaire,ALCOHOL_CURR_1_1;ALCOHOL_PREV_1_1,ALCOHOL_CHG_ABST_REASON_2_M,how often = 6 AND previously drank = 1 -> reasons for stopping asked; otherwise [-998],quoted,Questionnaire Logic v2.2 section3,D067,encoded,
R039,questionnaire,BIRTH_PLACE_1_1,IMMIGRATE_UK_YR_1_1,"([BIRTH_PLACE_1_1] ONE of [6, 7, 8, 9, 10])",quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R040,questionnaire,FATHER_ALIVE_1_1,FATHER_AGE_1_1,([FATHER_ALIVE_1_1] = 1),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R041,questionnaire,FATHER_ALIVE_1_1,FATHER_AGE_DECEASED_1_1,([FATHER_ALIVE_1_1] = 0),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R042,questionnaire,FATHER_DIAG_A_2_M,FATHER_DIAG_AUTO_1_M,([FATHER_DIAG_A_2_M] = 1),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R043,questionnaire,FATHER_DIAG_A_2_M,FATHER_DIAG_ANAEMIA_1_M,([FATHER_DIAG_A_2_M] = 2),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R044,questionnaire,FATHER_DIAG_A_2_M,FATHER_DIAG_CANCER_1_M,([FATHER_DIAG_A_2_M] = 3),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R045,questionnaire,FATHER_DIAG_A_2_M;FATHER_DIAG_CANCER_1_M,FATHER_DIAG_CANCER_SKIN_1_M,([FATHER_DIAG_A_2_M] = 3) AND ([FATHER_DIAG_CANCER_1_M] = 18),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R046,questionnaire,FATHER_DIAG_A_2_M,FATHER_DIAG_GASTRO_1_M,([FATHER_DIAG_A_2_M] = 4),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R047,questionnaire,FATHER_DIAG_A_2_M,FATHER_DIAG_ENDOCR_1_M,([FATHER_DIAG_A_2_M] = 5),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R048,questionnaire,FATHER_DIAG_A_2_M,FATHER_DIAG_OPTHAL_1_M,([FATHER_DIAG_A_2_M] = 6),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R049,questionnaire,FATHER_DIAG_A_2_M,FATHER_DIAG_OSTEO_1_M,([FATHER_DIAG_A_2_M] = 7),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R050,questionnaire,FATHER_DIAG_A_2_M,FATHER_DIAG_CVD_1_M,([FATHER_DIAG_A_2_M] = 8),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R051,questionnaire,FATHER_DIAG_A_2_M,FATHER_DIAG_UROL_1_M,([FATHER_DIAG_A_2_M] = 9),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R052,questionnaire,FATHER_DIAG_A_2_M,FATHER_DIAG_RESP_1_M,([FATHER_DIAG_A_2_M] = 10),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R053,questionnaire,FATHER_DIAG_A_2_M,FATHER_DIAG_PSYCH_1_M,([FATHER_DIAG_A_2_M] = 11),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R054,questionnaire,FATHER_DIAG_A_2_M;FATHER_DIAG_PSYCH_1_M,FATHER_DIAG_PSYCH_ANX_1_M,([FATHER_DIAG_A_2_M] = 11) AND ([FATHER_DIAG_PSYCH_1_M] = 1),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R055,questionnaire,FATHER_DIAG_A_2_M;FATHER_DIAG_PSYCH_1_M,FATHER_DIAG_PSYCH_DEPR_1_M,([FATHER_DIAG_A_2_M] = 11) AND ([FATHER_DIAG_PSYCH_1_M] = 4),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R056,questionnaire,FATHER_DIAG_A_2_M;FATHER_DIAG_PSYCH_1_M,FATHER_DIAG_PSYCH_EAT_1_M,([FATHER_DIAG_A_2_M] = 11) AND ([FATHER_DIAG_PSYCH_1_M] = 8),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R057,questionnaire,FATHER_DIAG_A_2_M,FATHER_DIAG_NEURO_DEV_1_M,([FATHER_DIAG_A_2_M] = 12),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R058,questionnaire,FATHER_DIAG_A_2_M,FATHER_DIAG_NEURO_1_M,([FATHER_DIAG_A_2_M] = 13),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R059,questionnaire,FATHER_DIAG_A_2_M,FATHER_DIAG_REPRO_1_M,([FATHER_DIAG_A_2_M] = 14),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R060,questionnaire,MOTHER_ALIVE_1_1,MOTHER_AGE_1_1,([MOTHER_ALIVE_1_1] = 1),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R061,questionnaire,MOTHER_ALIVE_1_1,MOTHER_AGE_DECEASED_1_1,([MOTHER_ALIVE_1_1] = 0),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R062,questionnaire,MOTHER_DIAG_A_2_M,MOTHER_DIAG_AUTO_1_M,([MOTHER_DIAG_A_2_M] = 1),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R063,questionnaire,MOTHER_DIAG_A_2_M,MOTHER_DIAG_ANAEMIA_1_M,([MOTHER_DIAG_A_2_M] = 2),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R064,questionnaire,MOTHER_DIAG_A_2_M,MOTHER_DIAG_CANCER_1_M,([MOTHER_DIAG_A_2_M] = 3),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R065,questionnaire,MOTHER_DIAG_A_2_M;MOTHER_DIAG_CANCER_1_M,MOTHER_DIAG_CANCER_SKIN_1_M,([MOTHER_DIAG_A_2_M] = 3) AND ([MOTHER_DIAG_CANCER_1_M] = 18),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R066,questionnaire,MOTHER_DIAG_A_2_M,MOTHER_DIAG_GASTRO_1_M,([MOTHER_DIAG_A_2_M] = 4),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R067,questionnaire,MOTHER_DIAG_A_2_M,MOTHER_DIAG_ENDOCR_1_M,([MOTHER_DIAG_A_2_M] = 5),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R068,questionnaire,MOTHER_DIAG_A_2_M,MOTHER_DIAG_OPTHAL_1_M,([MOTHER_DIAG_A_2_M] = 6),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R069,questionnaire,MOTHER_DIAG_A_2_M,MOTHER_DIAG_OSTEO_1_M,([MOTHER_DIAG_A_2_M] = 7),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R070,questionnaire,MOTHER_DIAG_A_2_M,MOTHER_DIAG_CVD_1_M,([MOTHER_DIAG_A_2_M] = 8),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R071,questionnaire,MOTHER_DIAG_A_2_M,MOTHER_DIAG_UROL_1_M,([MOTHER_DIAG_A_2_M] = 9),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R072,questionnaire,MOTHER_DIAG_A_2_M,MOTHER_DIAG_RESP_1_M,([MOTHER_DIAG_A_2_M] = 10),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R073,questionnaire,MOTHER_DIAG_A_2_M,MOTHER_DIAG_PSYCH_1_M,([MOTHER_DIAG_A_2_M] = 11),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R074,questionnaire,MOTHER_DIAG_A_2_M;MOTHER_DIAG_PSYCH_1_M,MOTHER_DIAG_PSYCH_ANX_1_M,([MOTHER_DIAG_A_2_M] = 11) AND ([MOTHER_DIAG_PSYCH_1_M] = 1),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R075,questionnaire,MOTHER_DIAG_A_2_M;MOTHER_DIAG_PSYCH_1_M,MOTHER_DIAG_PSYCH_DEPR_1_M,([MOTHER_DIAG_A_2_M] = 11) AND ([MOTHER_DIAG_PSYCH_1_M] = 4),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R076,questionnaire,MOTHER_DIAG_A_2_M;MOTHER_DIAG_PSYCH_1_M,MOTHER_DIAG_PSYCH_EAT_1_M,([MOTHER_DIAG_A_2_M] = 11) AND ([MOTHER_DIAG_PSYCH_1_M] = 8),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R077,questionnaire,MOTHER_DIAG_A_2_M,MOTHER_DIAG_NEURO_DEV_1_M,([MOTHER_DIAG_A_2_M] = 12),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R078,questionnaire,MOTHER_DIAG_A_2_M,MOTHER_DIAG_NEURO_1_M,([MOTHER_DIAG_A_2_M] = 13),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R079,questionnaire,MOTHER_DIAG_A_2_M,MOTHER_DIAG_REPRO_1_M,([MOTHER_DIAG_A_2_M] = 14),quoted,Questionnaire Logic v2.2 section4,D072,encoded,
R080,questionnaire,SIBLING_NUM_BROTHERS_1_1;SIBLING_NUM_SISTERS_1_1,SIBLING_DIAG_A_2_M,([SIBLING_NUM_BROTHERS_1_1] = int(>0)) OR ([SIBLING_NUM_SISTERS_1_1] = int(>0)),quoted,Questionnaire Logic v2.2 section4,D072,encoded,read as (brothers or sisters) AND the condition (D073)
R081,questionnaire,SIBLING_NUM_BROTHERS_1_1;SIBLING_NUM_SISTERS_1_1;SIBLING_DIAG_A_2_M,SIBLING_DIAG_AUTO_1_M,([SIBLING_NUM_BROTHERS_1_1] = int(>0)) OR ([SIBLING_NUM_SISTERS_1_1] = int(>0)) AND ([SIBLING_DIAG_A_2_M] = 1),quoted,Questionnaire Logic v2.2 section4,D072,encoded,read as (brothers or sisters) AND the condition (D073)
R082,questionnaire,SIBLING_NUM_BROTHERS_1_1;SIBLING_NUM_SISTERS_1_1;SIBLING_DIAG_A_2_M,SIBLING_DIAG_ANAEMIA_1_M,([SIBLING_NUM_BROTHERS_1_1] = int(>0)) OR ([SIBLING_NUM_SISTERS_1_1] = int(>0)) AND ([SIBLING_DIAG_A_2_M] = 2),quoted,Questionnaire Logic v2.2 section4,D072,encoded,read as (brothers or sisters) AND the condition (D073)
R083,questionnaire,SIBLING_NUM_BROTHERS_1_1;SIBLING_NUM_SISTERS_1_1;SIBLING_DIAG_A_2_M,SIBLING_DIAG_CANCER_1_M,([SIBLING_NUM_BROTHERS_1_1] = int(>0)) OR ([SIBLING_NUM_SISTERS_1_1] = int(>0)) AND ([SIBLING_DIAG_A_2_M] = 3),quoted,Questionnaire Logic v2.2 section4,D072,encoded,read as (brothers or sisters) AND the condition (D073)
R084,questionnaire,SIBLING_NUM_BROTHERS_1_1;SIBLING_NUM_SISTERS_1_1;SIBLING_DIAG_A_2_M;SIBLING_DIAG_CANCER_1_M,SIBLING_DIAG_CANCER_SKIN_1_M,([SIBLING_NUM_BROTHERS_1_1] = int(>0)) OR ([SIBLING_NUM_SISTERS_1_1] = int(>0)) AND ([SIBLING_DIAG_A_2_M] = 3) AND ([SIBLING_DIAG_CANCER_1_M] = 18),quoted,Questionnaire Logic v2.2 section4,D072,encoded,read as (brothers or sisters) AND the condition (D073)
R085,questionnaire,SIBLING_NUM_BROTHERS_1_1;SIBLING_NUM_SISTERS_1_1;SIBLING_DIAG_A_2_M,SIBLING_DIAG_GASTRO_1_M,([SIBLING_NUM_BROTHERS_1_1] = int(>0)) OR ([SIBLING_NUM_SISTERS_1_1] = int(>0)) AND ([SIBLING_DIAG_A_2_M] = 4),quoted,Questionnaire Logic v2.2 section4,D072,encoded,read as (brothers or sisters) AND the condition (D073)
R086,questionnaire,SIBLING_NUM_BROTHERS_1_1;SIBLING_NUM_SISTERS_1_1;SIBLING_DIAG_A_2_M,SIBLING_DIAG_ENDOCR_1_M,([SIBLING_NUM_BROTHERS_1_1] = int(>0)) OR ([SIBLING_NUM_SISTERS_1_1] = int(>0)) AND ([SIBLING_DIAG_A_2_M] = 5),quoted,Questionnaire Logic v2.2 section4,D072,encoded,read as (brothers or sisters) AND the condition (D073)
R087,questionnaire,SIBLING_NUM_BROTHERS_1_1;SIBLING_NUM_SISTERS_1_1;SIBLING_DIAG_A_2_M,SIBLING_DIAG_OPTHAL_1_M,([SIBLING_NUM_BROTHERS_1_1] = int(>0)) OR ([SIBLING_NUM_SISTERS_1_1] = int(>0)) AND ([SIBLING_DIAG_A_2_M] = 6),quoted,Questionnaire Logic v2.2 section4,D072,encoded,read as (brothers or sisters) AND the condition (D073)
R088,questionnaire,SIBLING_NUM_BROTHERS_1_1;SIBLING_NUM_SISTERS_1_1;SIBLING_DIAG_A_2_M,SIBLING_DIAG_OSTEO_1_M,([SIBLING_NUM_BROTHERS_1_1] = int(>0)) OR ([SIBLING_NUM_SISTERS_1_1] = int(>0)) AND ([SIBLING_DIAG_A_2_M] = 7),quoted,Questionnaire Logic v2.2 section4,D072,encoded,read as (brothers or sisters) AND the condition (D073)
R089,questionnaire,SIBLING_NUM_BROTHERS_1_1;SIBLING_NUM_SISTERS_1_1;SIBLING_DIAG_A_2_M,SIBLING_DIAG_CVD_1_M,([SIBLING_NUM_BROTHERS_1_1] = int(>0)) OR ([SIBLING_NUM_SISTERS_1_1] = int(>0)) AND ([SIBLING_DIAG_A_2_M] = 8),quoted,Questionnaire Logic v2.2 section4,D072,encoded,read as (brothers or sisters) AND the condition (D073)
R090,questionnaire,SIBLING_NUM_BROTHERS_1_1;SIBLING_NUM_SISTERS_1_1;SIBLING_DIAG_A_2_M,SIBLING_DIAG_UROL_1_M,([SIBLING_NUM_BROTHERS_1_1] = int(>0)) OR ([SIBLING_NUM_SISTERS_1_1] = int(>0)) AND ([SIBLING_DIAG_A_2_M] = 9),quoted,Questionnaire Logic v2.2 section4,D072,encoded,read as (brothers or sisters) AND the condition (D073)
R091,questionnaire,SIBLING_NUM_BROTHERS_1_1;SIBLING_NUM_SISTERS_1_1;SIBLING_DIAG_A_2_M,SIBLING_DIAG_RESP_1_M,([SIBLING_NUM_BROTHERS_1_1] = int(>0)) OR ([SIBLING_NUM_SISTERS_1_1] = int(>0)) AND ([SIBLING_DIAG_A_2_M] = 10),quoted,Questionnaire Logic v2.2 section4,D072,encoded,read as (brothers or sisters) AND the condition (D073)
R092,questionnaire,SIBLING_NUM_BROTHERS_1_1;SIBLING_NUM_SISTERS_1_1;SIBLING_DIAG_A_2_M,SIBLING_DIAG_PSYCH_1_M,([SIBLING_NUM_BROTHERS_1_1] = int(>0)) OR ([SIBLING_NUM_SISTERS_1_1] = int(>0)) AND ([SIBLING_DIAG_A_2_M] = 11),quoted,Questionnaire Logic v2.2 section4,D072,encoded,read as (brothers or sisters) AND the condition (D073)
R093,questionnaire,SIBLING_NUM_BROTHERS_1_1;SIBLING_NUM_SISTERS_1_1;SIBLING_DIAG_A_2_M;SIBLING_DIAG_PSYCH_1_M,SIBLING_DIAG_PSYCH_ANX_1_M,([SIBLING_NUM_BROTHERS_1_1] = int(>0)) OR ([SIBLING_NUM_SISTERS_1_1] = int(>0)) AND ([SIBLING_DIAG_A_2_M] = 12) AND ([SIBLING_DIAG_PSYCH_1_M] = 1),quoted,Questionnaire Logic v2.2 section4,D074,declined,not enforced: the source uses group 12 where parents use 11; steward left as is (D074)
R094,questionnaire,SIBLING_NUM_BROTHERS_1_1;SIBLING_NUM_SISTERS_1_1;SIBLING_DIAG_A_2_M;SIBLING_DIAG_PSYCH_1_M,SIBLING_DIAG_PSYCH_DEPR_1_M,([SIBLING_NUM_BROTHERS_1_1] = int(>0)) OR ([SIBLING_NUM_SISTERS_1_1] = int(>0)) AND ([SIBLING_DIAG_A_2_M] = 12) AND ([SIBLING_DIAG_PSYCH_1_M] = 4),quoted,Questionnaire Logic v2.2 section4,D074,declined,not enforced: the source uses group 12 where parents use 11; steward left as is (D074)
R095,questionnaire,SIBLING_NUM_BROTHERS_1_1;SIBLING_NUM_SISTERS_1_1;SIBLING_DIAG_A_2_M;SIBLING_DIAG_PSYCH_1_M,SIBLING_DIAG_PSYCH_EAT_1_M,([SIBLING_NUM_BROTHERS_1_1] = int(>0)) OR ([SIBLING_NUM_SISTERS_1_1] = int(>0)) AND ([SIBLING_DIAG_A_2_M] = 12) AND ([SIBLING_DIAG_PSYCH_1_M] = 8),quoted,Questionnaire Logic v2.2 section4,D074,declined,not enforced: the source uses group 12 where parents use 11; steward left as is (D074)
